,n,m,causal_effect,hyp_test
0,10000.0,3.1622776601683795,0.0,0.03
1,10000.0,5.623413251903491,0.0,0.04
2,10000.0,10.0,0.0,0.02
3,10000.0,17.78279410038923,0.0,0.07
4,10000.0,31.622776601683793,0.0,0.05
5,10000.0,56.23413251903491,0.0,0.06
6,10000.0,100.0,0.0,0.04
7,10000.0,177.82794100389228,0.0,0.04
8,10000.0,316.22776601683796,0.0,0.08
9,10000.0,562.341325190349,0.0,0.1
10,10000.0,1000.0,0.0,0.11
11,10000.0,1778.2794100389228,0.0,0.36
12,10000.0,3162.2776601683795,0.0,0.97
13,10000.0,5623.413251903491,0.0,1.0
14,10000.0,10000.0,0.0,1.0
15,10000.0,3.1622776601683795,0.4,0.09
16,10000.0,5.623413251903491,0.4,0.06
17,10000.0,10.0,0.4,0.12
18,10000.0,17.78279410038923,0.4,0.2
19,10000.0,31.622776601683793,0.4,0.33
20,10000.0,56.23413251903491,0.4,0.55
21,10000.0,100.0,0.4,0.84
22,10000.0,177.82794100389228,0.4,0.98
23,10000.0,316.22776601683796,0.4,1.0
24,10000.0,562.341325190349,0.4,1.0
25,10000.0,1000.0,0.4,1.0
26,10000.0,1778.2794100389228,0.4,1.0
27,10000.0,3162.2776601683795,0.4,1.0
28,10000.0,5623.413251903491,0.4,1.0
29,10000.0,10000.0,0.4,1.0
30,10000.0,3.1622776601683795,0.0,0.03
31,10000.0,5.623413251903491,0.0,0.04
32,10000.0,10.0,0.0,0.02
33,10000.0,17.78279410038923,0.0,0.07
34,10000.0,31.622776601683793,0.0,0.05
35,10000.0,56.23413251903491,0.0,0.06
36,10000.0,100.0,0.0,0.04
37,10000.0,177.82794100389228,0.0,0.04
38,10000.0,316.22776601683796,0.0,0.08
39,10000.0,562.341325190349,0.0,0.1
40,10000.0,1000.0,0.0,0.11
41,10000.0,1778.2794100389228,0.0,0.36
42,10000.0,3162.2776601683795,0.0,0.97
43,10000.0,5623.413251903491,0.0,1.0
44,10000.0,10000.0,0.0,1.0
45,10000.0,3.1622776601683795,0.4,0.09
46,10000.0,5.623413251903491,0.4,0.06
47,10000.0,10.0,0.4,0.12
48,10000.0,17.78279410038923,0.4,0.2
49,10000.0,31.622776601683793,0.4,0.33
50,10000.0,56.23413251903491,0.4,0.55
51,10000.0,100.0,0.4,0.84
52,10000.0,177.82794100389228,0.4,0.98
53,10000.0,316.22776601683796,0.4,1.0
54,10000.0,562.341325190349,0.4,1.0
55,10000.0,1000.0,0.4,1.0
56,10000.0,1778.2794100389228,0.4,1.0
57,10000.0,3162.2776601683795,0.4,1.0
58,10000.0,5623.413251903491,0.4,1.0
59,10000.0,10000.0,0.4,1.0
60,10000.0,3.1622776601683795,0.0,0.03
61,10000.0,5.623413251903491,0.0,0.04
62,10000.0,10.0,0.0,0.02
63,10000.0,17.78279410038923,0.0,0.07
64,10000.0,31.622776601683793,0.0,0.05
65,10000.0,56.23413251903491,0.0,0.06
66,10000.0,100.0,0.0,0.04
67,10000.0,177.82794100389228,0.0,0.04
68,10000.0,316.22776601683796,0.0,0.08
69,10000.0,562.341325190349,0.0,0.1
70,10000.0,1000.0,0.0,0.11
71,10000.0,1778.2794100389228,0.0,0.36
72,10000.0,3162.2776601683795,0.0,0.97
73,10000.0,5623.413251903491,0.0,1.0
74,10000.0,10000.0,0.0,1.0
75,10000.0,3.1622776601683795,0.4,0.09
76,10000.0,5.623413251903491,0.4,0.06
77,10000.0,10.0,0.4,0.12
78,10000.0,17.78279410038923,0.4,0.2
79,10000.0,31.622776601683793,0.4,0.33
80,10000.0,56.23413251903491,0.4,0.55
81,10000.0,100.0,0.4,0.84
82,10000.0,177.82794100389228,0.4,0.98
83,10000.0,316.22776601683796,0.4,1.0
84,10000.0,562.341325190349,0.4,1.0
85,10000.0,1000.0,0.4,1.0
86,10000.0,1778.2794100389228,0.4,1.0
87,10000.0,3162.2776601683795,0.4,1.0
88,10000.0,5623.413251903491,0.4,1.0
89,10000.0,10000.0,0.4,1.0
90,10000.0,3.1622776601683795,0.0,0.03
91,10000.0,5.623413251903491,0.0,0.04
92,10000.0,10.0,0.0,0.02
93,10000.0,17.78279410038923,0.0,0.07
94,10000.0,31.622776601683793,0.0,0.05
95,10000.0,56.23413251903491,0.0,0.06
96,10000.0,100.0,0.0,0.04
97,10000.0,177.82794100389228,0.0,0.04
98,10000.0,316.22776601683796,0.0,0.08
99,10000.0,562.341325190349,0.0,0.1
100,10000.0,1000.0,0.0,0.11
101,10000.0,1778.2794100389228,0.0,0.36
102,10000.0,3162.2776601683795,0.0,0.97
103,10000.0,5623.413251903491,0.0,1.0
104,10000.0,10000.0,0.0,1.0
