,m,causal_effect
0,6,0.0
1,6,0.0
2,5,0.0
3,5,0.0
4,6,0.0
5,6,0.0
6,6,0.0
7,6,0.0
8,6,0.0
9,6,0.0
10,6,0.0
11,5,0.0
12,5,0.0
13,6,0.0
14,5,0.0
15,5,0.0
16,6,0.0
17,6,0.0
18,5,0.0
19,5,0.0
20,6,0.0
21,6,0.0
22,5,0.0
23,6,0.0
24,6,0.0
25,6,0.0
26,6,0.0
27,6,0.0
28,5,0.0
29,6,0.0
30,5,0.0
31,6,0.0
32,6,0.0
33,6,0.0
34,6,0.0
35,6,0.0
36,6,0.0
37,6,0.0
38,6,0.0
39,6,0.0
40,6,0.0
41,6,0.0
42,6,0.0
43,6,0.0
44,6,0.0
45,6,0.0
46,5,0.0
47,5,0.0
48,6,0.0
49,6,0.0
50,6,0.0
51,6,0.0
52,5,0.0
53,6,0.0
54,6,0.0
55,6,0.0
56,5,0.0
57,5,0.0
58,6,0.0
59,5,0.0
60,5,0.0
61,6,0.0
62,6,0.0
63,6,0.0
64,6,0.0
65,6,0.0
66,6,0.0
67,5,0.0
68,6,0.0
69,6,0.0
70,6,0.0
71,6,0.0
72,6,0.0
73,6,0.0
74,6,0.0
75,6,0.0
76,6,0.0
77,6,0.0
78,6,0.0
79,6,0.0
80,6,0.0
81,6,0.0
82,5,0.0
83,6,0.0
84,6,0.0
85,6,0.0
86,6,0.0
87,6,0.0
88,6,0.0
89,6,0.0
90,5,0.0
91,6,0.0
92,6,0.0
93,5,0.0
94,6,0.0
95,6,0.0
96,6,0.0
97,6,0.0
98,6,0.0
99,6,0.0
100,6,0.4
101,6,0.4
102,6,0.4
103,6,0.4
104,6,0.4
105,6,0.4
106,6,0.4
107,6,0.4
108,6,0.4
109,6,0.4
110,6,0.4
111,6,0.4
112,6,0.4
113,6,0.4
114,6,0.4
115,5,0.4
116,6,0.4
117,6,0.4
118,6,0.4
119,6,0.4
120,5,0.4
121,5,0.4
122,6,0.4
123,6,0.4
124,5,0.4
125,5,0.4
126,5,0.4
127,5,0.4
128,6,0.4
129,6,0.4
130,6,0.4
131,6,0.4
132,6,0.4
133,6,0.4
134,5,0.4
135,6,0.4
136,5,0.4
137,6,0.4
138,6,0.4
139,6,0.4
140,6,0.4
141,6,0.4
142,5,0.4
143,6,0.4
144,5,0.4
145,6,0.4
146,6,0.4
147,5,0.4
148,5,0.4
149,6,0.4
150,5,0.4
151,5,0.4
152,6,0.4
153,6,0.4
154,6,0.4
155,5,0.4
156,5,0.4
157,5,0.4
158,5,0.4
159,6,0.4
160,6,0.4
161,6,0.4
162,6,0.4
163,6,0.4
164,6,0.4
165,5,0.4
166,5,0.4
167,6,0.4
168,6,0.4
169,6,0.4
170,6,0.4
171,6,0.4
172,5,0.4
173,6,0.4
174,6,0.4
175,6,0.4
176,6,0.4
177,6,0.4
178,6,0.4
179,6,0.4
180,6,0.4
181,6,0.4
182,6,0.4
183,6,0.4
184,6,0.4
185,6,0.4
186,6,0.4
187,5,0.4
188,5,0.4
189,6,0.4
190,6,0.4
191,6,0.4
192,6,0.4
193,5,0.4
194,6,0.4
195,5,0.4
196,5,0.4
197,5,0.4
198,6,0.4
199,5,0.4
