,alpha,confidence,CausalEffect,n,Scale,Replacement
0,0.0462,0.0461,0.0,10000,0.2449489742783178,NO-REPL-reject
1,0.0486,0.0448,0.0,10000,0.3882179618340382,NO-REPL-reject
2,0.045,0.0492,0.0,10000,0.6152840049018956,NO-REPL-reject
3,0.0586,0.0558,0.0,10000,0.9751594307992246,NO-REPL-reject
4,0.045,0.0485,0.0,10000,1.5455235434379455,NO-REPL-reject
5,0.0432,0.0449,0.0,10000,2.449489742783178,NO-REPL-reject
6,0.0808,0.0736,0.0,10000,3.8821796183403827,NO-REPL-reject
7,0.1398,0.1557,0.0,10000,6.152840049018956,NO-REPL-reject
8,0.211,0.2254,0.0,10000,9.751594307992246,NO-REPL-reject
9,0.2512,0.26,0.0,10000,15.455235434379457,NO-REPL-reject
10,0.2479,0.2743,0.0,10000,24.49489742783178,NO-REPL-reject
11,0.2796,0.2949,0.0,10000,38.82179618340382,NO-REPL-reject
12,0.2667,0.2913,0.0,10000,61.52840049018955,NO-REPL-reject
13,0.2826,0.2875,0.0,10000,97.5159430799225,NO-REPL-reject
14,0.2529,0.2702,0.0,10000,154.55235434379455,NO-REPL-reject
15,0.6457,0.0582,0.4,10000,0.2449489742783178,NO-REPL-reject
16,0.5897,0.0516,0.4,10000,0.3882179618340382,NO-REPL-reject
17,0.491,0.0425,0.4,10000,0.6152840049018956,NO-REPL-reject
18,0.3969,0.0569,0.4,10000,0.9751594307992246,NO-REPL-reject
19,0.2581,0.0495,0.4,10000,1.5455235434379455,NO-REPL-reject
20,0.1743,0.045,0.4,10000,2.449489742783178,NO-REPL-reject
21,0.2009,0.0725,0.4,10000,3.8821796183403827,NO-REPL-reject
22,0.3269,0.1568,0.4,10000,6.152840049018956,NO-REPL-reject
23,0.404,0.2236,0.4,10000,9.751594307992246,NO-REPL-reject
24,0.4426,0.2681,0.4,10000,15.455235434379457,NO-REPL-reject
25,0.4536,0.2626,0.4,10000,24.49489742783178,NO-REPL-reject
26,0.4534,0.2696,0.4,10000,38.82179618340382,NO-REPL-reject
27,0.4832,0.3053,0.4,10000,61.52840049018955,NO-REPL-reject
28,0.4637,0.2877,0.4,10000,97.5159430799225,NO-REPL-reject
29,0.4632,0.2881,0.4,10000,154.55235434379455,NO-REPL-reject
