alpha,n,Lower,Upper,Test,Hypothesis
0.006726457399103139,100,0.0018358254026188546,0.019735186889275145,Resampling1,null
0.01867219917012448,300,0.009313550917568813,0.0349604404967891,Resampling1,null
0.020366598778004074,900,0.01089420835893572,0.03732565389920266,Resampling1,null
0.02620967741935484,2700,0.01469913700988461,0.04408105780742865,Resampling1,null
0.032064128256513016,8100,0.017640247137377583,0.04882376423781312,Resampling1,null
0.022000000000000002,24300,0.011506164094107395,0.03872226519782652,Resampling1,null
0.07847533632286996,100,0.05627746576612727,0.1073414650895513,Score_based,null
0.07468879668049792,300,0.05359995182038657,0.10238874624794744,Score_based,null
0.08757637474541753,900,0.06485508285420162,0.1158545700106702,Score_based,null
0.05040322580645161,2700,0.03397428378077206,0.07332095517515701,Score_based,null
0.06012024048096193,8100,0.0417536333525373,0.08488203563650477,Score_based,null
0.06,24300,0.041670174660939516,0.08471236147296292,Score_based,null
0.01345291479820628,100,0.005874540259528715,0.02880935965832555,Resampling1,alternative
0.03112033195020747,300,0.018262048785416842,0.050544642955392564,Resampling1,alternative
0.07739307535641547,900,0.05645629127251306,0.1046282086069847,Resampling1,alternative
0.13911290322580644,2700,0.110619659133405,0.1721913594490634,Resampling1,alternative
0.23046092184368736,8100,0.1952060491437133,0.2694049314561041,Resampling1,alternative
0.252,24300,0.2152729209541204,0.2918793357480926,Resampling1,alternative
0.2533632286995516,100,0.2148544158424348,0.2958291551521541,Score_based,alternative
0.4979253112033195,300,0.4532914611564589,0.5425564980317277,Score_based,alternative
0.7230142566191446,900,0.6813786514785783,0.7613920456135301,Score_based,alternative
0.8528225806451613,2700,0.8187470640913334,0.8823360825663967,Score_based,alternative
0.9458917835671342,8100,0.922133745305673,0.9632724094592666,Score_based,alternative
0.976,24300,0.9583298248964324,0.9865331814947385,Score_based,alternative
0.027522935779816515,100,0.015459462333376337,0.04778288043668962,Resampling2,null
0.035269709543568464,300,0.021371373154229573,0.05572236571410895,Resampling2,null
0.04684317718940937,900,0.031032587844225863,0.06992774450401748,Resampling2,null
0.05040322580645161,2700,0.03397428378077206,0.07332095517515701,Resampling2,null
0.04208416833667335,8100,0.02681265930389193,0.06381589485291718,Resampling2,null
0.046,24300,0.030464282003594287,0.06866969208920404,Resampling2,null
0.11009174311926606,100,0.08340439687264048,0.14309326700209318,Resampling2,alternative
0.2365145228215768,300,0.20000583499590585,0.2768258611267364,Resampling2,alternative
0.37678207739307534,900,0.33479338112533674,0.4205237728540775,Resampling2,alternative
0.4798387096774194,2700,0.4354418769189889,0.5242083654388535,Resampling2,alternative
0.6172344689378757,8100,0.5731933884562856,0.6594180946991002,Resampling2,alternative
0.7,24300,0.6580968287955528,0.7391505054197405,Resampling2,alternative
