,alpha,n,Causal_Effect,m_choice,method,Lower,Upper,NoNans
0,0.054,100,0.0,heuristic,resampling,0.04135450923997081,0.0698645598642971,0
1,0.04,100,0.0,sqrt,resampling,0.029361464658197653,0.054336563808795445,0
2,0.09,100,0.3,heuristic,resampling,0.07335631859852505,0.10938207900642084,0
3,0.072,100,0.3,sqrt,resampling,0.0573680319174057,0.08986809016219338,0
4,0.066,316,0.0,heuristic,resampling,0.05185138015459209,0.08335941988116607,0
5,0.06,316,0.0,sqrt,resampling,0.04639371903764775,0.07637808231787208,0
6,0.144,316,0.3,heuristic,resampling,0.12338863760720209,0.1673931988961287,0
7,0.066,316,0.3,sqrt,resampling,0.05185138015459209,0.08335941988116607,0
8,0.06,1000,0.0,heuristic,resampling,0.04639371903764775,0.07637808231787208,0
9,0.042,1000,0.0,sqrt,resampling,0.030833402249531076,0.05635796230591598,0
10,0.156,1000,0.3,heuristic,resampling,0.13438110494140193,0.179903475350026,0
11,0.108,1000,0.3,sqrt,resampling,0.08986808970912667,0.12888499942222442,0
12,0.072,3162,0.0,heuristic,resampling,0.0573680319174057,0.08986809016219338,0
13,0.042,3162,0.0,sqrt,resampling,0.030833402249531076,0.05635796230591598,0
14,0.304,3162,0.3,heuristic,resampling,0.2759310043899328,0.33344920957557145,0
15,0.126,3162,0.3,sqrt,resampling,0.10636836986959193,0.1483818930407427,0
16,0.054,10000,0.0,heuristic,resampling,0.04135450923997081,0.0698645598642971,0
17,0.054,10000,0.0,sqrt,resampling,0.04135450923997081,0.0698645598642971,0
18,0.492,10000,0.3,heuristic,resampling,0.4609887295944759,0.5230065285869201,0
19,0.276,10000,0.3,sqrt,resampling,0.24892475728808577,0.30493709130082763,0
20,0.06,31622,0.0,heuristic,resampling,0.04639371903764775,0.07637808231787208,0
21,0.06,31622,0.0,sqrt,resampling,0.04639371903764775,0.07637808231787208,0
22,0.832,31622,0.3,heuristic,resampling,0.8075885026756121,0.8541044939003947,0
23,0.48,31622,0.3,sqrt,resampling,0.44898497408168353,0.5110030994535484,0
