method,reject,n,causal_effect
ours,0.0,100,0
DML,0.0,100,0
ours,0.0,316,0
DML,0.0,316,0
ours,0.0,1000,0
DML,0.0,1000,0
ours,0.0,3162,0
DML,1.0,3162,0
ours,0.0,10000,0
DML,0.0,10000,0
ours,0.0,100,0
DML,0.0,100,0
ours,0.0,316,0
DML,0.0,316,0
ours,0.0,1000,0
DML,0.0,1000,0
ours,0.0,3162,0
DML,1.0,3162,0
ours,0.0,10000,0
DML,0.0,10000,0
ours,0.0,100,0
DML,0.0,100,0
ours,0.0,316,0
DML,0.0,316,0
ours,0.0,1000,0
DML,0.0,1000,0
ours,0.0,3162,0
DML,0.0,3162,0
ours,0.0,10000,0
DML,0.0,10000,0
ours,0.0,100,0
DML,1.0,100,0
ours,0.0,316,0
DML,0.0,316,0
ours,0.0,1000,0
DML,0.0,1000,0
ours,0.0,3162,0
DML,1.0,3162,0
ours,0.0,10000,0
DML,0.0,10000,0
ours,0.0,100,0
DML,0.0,100,0
ours,0.0,316,0
DML,0.0,316,0
ours,0.0,1000,0
DML,0.0,1000,0
ours,0.0,3162,0
DML,0.0,3162,0
ours,0.0,10000,0
DML,0.0,10000,0
ours,0.0,100,0
DML,0.0,100,0
ours,0.0,316,0
DML,0.0,316,0
ours,0.0,1000,0
DML,0.0,1000,0
ours,0.0,3162,0
DML,0.0,3162,0
ours,0.0,10000,0
DML,0.0,10000,0
ours,0.0,100,0
DML,1.0,100,0
ours,0.0,316,0
DML,0.0,316,0
ours,0.0,1000,0
DML,0.0,1000,0
ours,0.0,3162,0
DML,0.0,3162,0
ours,0.0,10000,0
DML,0.0,10000,0
