method,n,causal_effect,K,lower,reject,upper
DML,100,0.0,2,0.01072471965176126,0.025,0.05717834040664199
DML,100,0.5,2,0.15928412069978998,0.21,0.2716461685990246
DML,316,0.0,2,0.01705554200856719,0.035,0.07047061152229073
DML,316,0.5,2,0.7608852497127511,0.82,0.8670537414057983
DML,1000,0.0,2,0.020405632066152306,0.04,0.07693206820093296
DML,1000,0.5,2,0.9811546736227335,1.0,1.0
DML,3162,0.0,2,0.0078044264163494685,0.02,0.05028708690582645
DML,3162,0.5,2,0.9811546736227335,1.0,1.0
DML,10000,0.0,2,0.0078044264163494685,0.02,0.05028708690582645
DML,10000,0.5,2,0.9811546736227335,1.0,1.0
ours,100,0.0,2,0.1815743341523259,0.235,0.2984136888276254
ours,100,0.5,2,0.27791545970908793,0.34,0.4081150447316374
ours,316,0.0,2,0.045974917184381986,0.075,0.12004361023629459
ours,316,0.5,2,0.12860515066273331,0.175,0.23364431148248999
ours,1000,0.0,2,0.0421521718283428,0.07,0.11405480885610647
ours,1000,0.5,2,0.09866982633455636,0.14,0.19489880865707565
ours,3162,0.0,2,0.027382645600763922,0.05,0.089578148138776
ours,3162,0.5,2,0.09028202279669323,0.13,0.1836635187224841
ours,10000,0.0,2,0.01705554200856719,0.035,0.07047061152229073
ours,10000,0.5,2,0.09866982633455636,0.14,0.19489880865707565
