method,n,causal_effect,lower,reject,upper
DML,100,0.0,0.0078044264163494685,0.02,0.05028708690582645
DML,100,0.5,0.17262369715089126,0.225,0.2877412323566053
DML,316,0.0,0.01705554200856719,0.035,0.07047061152229073
DML,316,0.5,0.8448196800887696,0.895,0.9302925120731899
DML,1000,0.0,0.0421521718283428,0.07,0.11405480885610647
DML,1000,0.5,0.9811546736227335,1.0,1.0
DML,3162,0.0,0.01705554200856719,0.035,0.07047061152229073
DML,3162,0.5,0.9811546736227335,1.0,1.0
DML,10000,0.0,0.0078044264163494685,0.02,0.05028708690582645
DML,10000,0.5,0.9811546736227335,1.0,1.0
ours,100,0.0,0.0421521718283428,0.07,0.11405480885610647
ours,100,0.5,0.6280144790202163,0.695,0.7546358436926496
ours,316,0.0,0.03465219425433186,0.06,0.10193169295766272
ours,316,0.5,0.9497129130941735,0.98,0.9921955735836505
ours,1000,0.0,0.02385254300149299,0.045,0.0832967040018196
ours,1000,0.5,0.9811546736227335,1.0,1.0
ours,3162,0.0,0.030985341703458846,0.055,0.09578699877230842
ours,3162,0.5,0.9811546736227335,1.0,1.0
ours,10000,0.0,0.03465219425433186,0.06,0.10193169295766272
ours,10000,0.5,0.9811546736227335,1.0,1.0
