method,n,causal_effect,K,lower,reject,upper
DML,100,0.0,2.0,0.00550196755016235,0.02,0.07001179072854391
DML,100,0.3,2.0,0.04109346148438061,0.08,0.14998107700948735
DML,316,0.0,2.0,0.015663303991547604,0.04,0.09837071435887923
DML,316,0.3,2.0,0.4820648670304296,0.58,0.6720161732564526
DML,1000,0.0,2.0,0.00550196755016235,0.02,0.07001179072854391
DML,1000,0.3,2.0,0.9455138038212946,0.99,0.9982325679358593
DML,3162,0.0,2.0,0.00550196755016235,0.02,0.07001179072854391
DML,3162,0.3,2.0,0.9630065017930143,1.0,1.0
DML,10000,0.0,2.0,0.0,0.0,0.03699349820698569
DML,10000,0.3,2.0,0.9630065017930143,1.0,1.0
ours,100,0.0,2.0,0.021543679154367966,0.05,0.11175046923191914
ours,100,0.3,2.0,0.4920143005341078,0.59,0.6813268697886348
ours,316,0.0,2.0,0.021543679154367966,0.05,0.11175046923191914
ours,316,0.3,2.0,0.7557973061072976,0.84,0.8990471151119521
ours,1000,0.0,2.0,0.00550196755016235,0.02,0.07001179072854391
ours,1000,0.3,2.0,0.929988209271456,0.98,0.9944980324498376
ours,3162,0.0,2.0,0.021543679154367966,0.05,0.11175046923191914
ours,3162,0.3,2.0,0.9630065017930143,1.0,1.0
ours,10000,0.0,2.0,0.03431926106727266,0.07,0.13749514739073504
ours,10000,0.3,2.0,0.9630065017930143,1.0,1.0
